dataset,series,category,model,configuration,mae,rmse,mape,smape,mase
M3,N1830,MICRO,Seasonal naive,seasonal period = 12,1488.3333333333333,1881.1255495934697,66.43530681399045,48.115617563701576,1.0440852819807427
M3,N1830,MICRO,AutoReg,lag = 12,1029.1065559107292,1227.695128688677,58.091970036781134,37.390792065965734,0.7219316967186683
M3,N1830,MICRO,SARIMA,"order=(3, 0, 1), seasonal_order=(0, 0, 0, 12)",998.447394578374,1207.2688434086606,57.58309872411537,37.492729052021055,0.700423894408488
M3,N1830,MICRO,XGBoost,"100 trees, depth 2",739.3086547851562,889.561146778275,41.62908320618226,29.64791805227625,0.5186346821739061
M3,N1830,MICRO,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",979.1864997471976,1197.8079643169447,56.70793318561286,36.608644336577626,0.6869121249945953
M3,N1842,MICRO,Seasonal naive,seasonal period = 12,106.66666666666667,150.1110699893027,1.712925546246999,1.6982907534301532,0.46535500427716
M3,N1842,MICRO,AutoReg,lag = 12,78.67450591208755,94.19026451948137,1.2725916126940526,1.263720355679552,0.3432335159552152
M3,N1842,MICRO,SARIMA,"order=(0, 1, 1), seasonal_order=(0, 0, 0, 12)",80.56855731206117,95.3103748351832,1.3026876532028224,1.2945587050369722,0.3514966999927391
M3,N1842,MICRO,XGBoost,"100 trees, depth 2",88.68172200520833,104.7778373564133,1.42684644867093,1.42395670793208,0.38689202927849653
M3,N1842,MICRO,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",88.65975301775916,104.3796236693554,1.4358619278546294,1.4231219281887264,0.38679618510741803
M3,N1901,INDUSTRY,Seasonal naive,seasonal period = 12,753.9166666666666,798.403980868499,7.909946271764942,8.271525198136896,1.6839190013157472
M3,N1901,INDUSTRY,AutoReg,lag = 12,452.5258846492945,524.5858680122342,4.658988844607402,4.8056128964229785,1.0107442499146657
M3,N1901,INDUSTRY,SARIMA,"order=(1, 0, 1), seasonal_order=(1, 0, 2, 12)",814.4573328805786,869.6670092964429,8.494227377286904,8.917614612273283,1.819140283318516
M3,N1901,INDUSTRY,XGBoost,"200 trees, depth 2",774.775390625,861.8137969483265,8.025928908854993,8.434247923307177,1.730508237460287
M3,N1901,INDUSTRY,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",436.60318873911183,504.5379188227857,4.500038126896718,4.635560758459941,0.975179934412958
M3,N2185,INDUSTRY,Seasonal naive,seasonal period = 12,1129.0833333333333,1509.7331165915828,25.070472054545473,30.727413706539657,1.137615449202351
M3,N2185,INDUSTRY,AutoReg,lag = 12,954.9859187900715,1142.379892012124,24.5720028100989,25.013564670787435,0.9622024370680822
M3,N2185,INDUSTRY,SARIMA,"order=(0, 1, 3), seasonal_order=(1, 0, 0, 12)",960.6605083085561,1102.6605255549782,25.36762161168273,25.025006513051355,0.9679199076156737
M3,N2185,INDUSTRY,XGBoost,"200 trees, depth 2",979.6840209960938,1117.8017277818478,27.252445705168988,25.561503363311942,0.9870871748071474
M3,N2185,INDUSTRY,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",1074.822983238838,1299.6152012878583,25.467846892865303,28.149168228855252,1.0829450712733886
M3,N2438,MACRO,Seasonal naive,seasonal period = 12,266.03333333333353,296.44597034423225,5.846963168405505,6.062917359475501,0.5775845280953288
M3,N2438,MACRO,AutoReg,lag = 12,297.1167588251924,320.25055678298844,6.611118890012784,6.36547941071192,0.6450697015484108
M3,N2438,MACRO,SARIMA,"order=(1, 1, 0), seasonal_order=(2, 0, 0, 12)",206.5452130158967,224.03165815603728,4.597427956978304,4.475805702810409,0.4484299688891208
M3,N2438,MACRO,XGBoost,"200 trees, depth 3",85.68704427083337,95.85203058474507,1.8999679099343216,1.886071523950587,0.18603499948271945
M3,N2438,MACRO,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",228.00006506372256,241.8101267276218,5.0648106008664495,4.938689725187223,0.4950105625317668
M3,N2219,MACRO,Seasonal naive,seasonal period = 12,528.8333333333334,529.6361958929922,5.746009226431998,5.9166282731910576,0.9315100013488531
M3,N2219,MACRO,AutoReg,lag = 12,446.6590673752365,489.75945902511364,4.81794632847789,4.683649143244433,0.7867646803400894
M3,N2219,MACRO,SARIMA,"order=(0, 1, 0), seasonal_order=(1, 0, 0, 12)",19.012604518446096,22.548476808976567,0.20623648358693877,0.20636855847383453,0.03348962734438626
M3,N2219,MACRO,XGBoost,"200 trees, depth 3",284.9150390625,322.5807332808113,3.068294844565256,3.1293248855630935,0.5018617240871438
M3,N2219,MACRO,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",438.0056081976375,490.3876857304417,4.720635122787844,4.586297993115681,0.7715221015121081
M3,N2591,FINANCE,Seasonal naive,seasonal period = 12,48.60833333333335,54.46833177789338,0.9530963810948547,0.9588166928456555,0.2187720218236273
M3,N2591,FINANCE,AutoReg,lag = 12,27.822738449555498,32.16857407045684,0.5452213692886769,0.5470818103841815,0.12522208283790626
M3,N2591,FINANCE,SARIMA,"order=(2, 2, 1), seasonal_order=(0, 0, 0, 12)",44.49845159996956,52.473217414550426,0.8715163436345359,0.8767759908985348,0.20027463516981645
M3,N2591,FINANCE,XGBoost,"200 trees, depth 2",36.97796223958327,43.30385906100802,0.7244922547574841,0.7278810038449866,0.16642709196786643
M3,N2591,FINANCE,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",38.50561200399193,45.145043128364975,0.7542644294594053,0.7581574723881916,0.17330260085039145
M3,N2662,FINANCE,Seasonal naive,seasonal period = 12,1580.4916666666668,1916.4107560315283,15.587946256083871,17.440852750727558,1.1987616539787178
M3,N2662,FINANCE,AutoReg,lag = 12,2341.0231881490395,2963.715376815993,22.81065668621335,19.501997278312892,1.7756049514305612
M3,N2662,FINANCE,SARIMA,"order=(0, 2, 1), seasonal_order=(1, 1, 0, 12)",2580.8642723556045,3024.905355546587,25.58623178055932,21.880419285213858,1.9575181502529808
M3,N2662,FINANCE,XGBoost,"200 trees, depth 2",1039.9287923177083,1211.2985363480464,10.72011752346528,9.96625910200361,0.7887588308061518
M3,N2662,FINANCE,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",2444.383458079815,3015.9805986212505,23.865406077311306,20.399564475248937,1.8540010168772225
M3,N2745,DEMOGRAPHIC,Seasonal naive,seasonal period = 12,2315.0,2755.461243905758,32.37049029547669,26.642521949341784,2.083537882506955
M3,N2745,DEMOGRAPHIC,AutoReg,lag = 12,1049.8670176752862,1210.9642852623242,14.127328135547293,13.014815151095464,0.9448974958622279
M3,N2745,DEMOGRAPHIC,SARIMA,"order=(1, 1, 0), seasonal_order=(0, 0, 1, 12)",2784.981596261617,2973.0476168153527,38.95471642672583,31.720770626426546,2.5065290098901807
M3,N2745,DEMOGRAPHIC,XGBoost,"200 trees, depth 2",3682.2149251302085,3867.112945465585,51.21433815105137,39.71952051117084,3.3140536881387903
M3,N2745,DEMOGRAPHIC,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",2279.2041197340563,2418.0064738693427,31.574579748348103,26.749752524009512,2.051321004506187
M3,N2797,OTHER,Seasonal naive,seasonal period = 12,386.6666666666667,536.4078050637717,7.300558070343041,6.8267415276465915,0.48166089965397924
M3,N2797,OTHER,AutoReg,lag = 12,518.2273239725537,595.1600691925518,9.82474904166144,9.594261121704537,0.6455426873014509
M3,N2797,OTHER,SARIMA,"order=(1, 0, 0), seasonal_order=(2, 0, 1, 12)",494.26531221489654,747.3559191244788,12.208876962943078,10.393713713298686,0.6156938145237465
M3,N2797,OTHER,XGBoost,"100 trees, depth 2",304.0124104817708,379.11945570057213,5.776910773695129,5.690882315100505,0.37870058053092553
M3,N2797,OTHER,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",446.5455048054905,497.3030340536913,8.334276736781282,7.900670425277406,0.5562504558130678
M4,M15716,MICRO,Seasonal naive,seasonal period = 12,305.0583333333333,381.9192486639027,6.308623292864652,6.570598916629004,2.004195175650473
M4,M15716,MICRO,AutoReg,lag = 12,206.04089737243874,321.8341836679899,4.037232716713396,4.180355651888549,1.3536629797597268
M4,M15716,MICRO,SARIMA,"order=(3, 0, 1), seasonal_order=(0, 1, 1, 12)",189.29643190646073,286.41056236418325,3.6094252577060106,3.7218633511744508,1.2436539315260258
M4,M15716,MICRO,XGBoost,"200 trees, depth 2",268.9908854166667,384.06561849871093,5.288880617452731,5.4745279137382505,1.7672365444183875
M4,M15716,MICRO,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",190.8360815626933,323.0375462861662,3.671719144619116,3.819699025904816,1.2537692376037046
M4,M27126,INDUSTRY,Seasonal naive,seasonal period = 12,154.93333333333325,159.0404351100687,3.526248674633855,3.5928164587246743,1.471838847728659
M4,M27126,INDUSTRY,AutoReg,lag = 12,81.31962353999029,87.86273864472787,1.8477526353129852,1.8678658468331748,0.7725218223461341
M4,M27126,INDUSTRY,SARIMA,"order=(1, 1, 1), seasonal_order=(1, 0, 1, 12)",66.89282626745678,72.64361415760621,1.5194276651874175,1.5331059562752027,0.6354698386497871
M4,M27126,INDUSTRY,XGBoost,"200 trees, depth 2",144.6736979166667,153.09885575265355,3.2880777375673373,3.349613819160197,1.3743741534314389
M4,M27126,INDUSTRY,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",94.04009476172776,100.21089672151554,2.13863873772451,2.1648865236832546,0.893364014938008
M4,M233,MACRO,Seasonal naive,seasonal period = 12,134.75,140.84063097463505,3.68643649602032,3.762300608807165,1.5075962086445305
M4,M233,MACRO,AutoReg,lag = 12,26.16269903837167,32.4536574510395,0.7182527826504765,0.7174786971563266,0.2927108413963416
M4,M233,MACRO,SARIMA,"order=(0, 1, 1), seasonal_order=(1, 0, 1, 12)",18.4202316782649,22.379939417046604,0.5045437172124418,0.505127238354735,0.2060873576289873
M4,M233,MACRO,XGBoost,"200 trees, depth 2",88.589599609375,94.28310908614212,2.415969761675719,2.4493991749217754,0.991149124277779
M4,M233,MACRO,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",26.044890466740906,30.95808894106552,0.7146435418012742,0.716536958954576,0.29139278754894743
M4,M43445,FINANCE,Seasonal naive,seasonal period = 12,502.27500000000003,626.5569281132135,9.923372253517094,9.636600769023069,1.8384792904099054
M4,M43445,FINANCE,AutoReg,lag = 12,488.5911578053045,592.8211981311621,9.702026013883618,9.168368966070922,1.7883922653973425
M4,M43445,FINANCE,SARIMA,"order=(1, 0, 1), seasonal_order=(1, 0, 2, 12)",371.65811827849893,553.3851426989862,7.269510244168511,7.005147155520565,1.3603817700815994
M4,M43445,FINANCE,XGBoost,"200 trees, depth 2",478.37951660156244,581.4532629749864,9.35439455841482,8.938564761067218,1.7510145522438385
M4,M43445,FINANCE,Wavelet+AutoReg,"haar, level=2, mode=periodization, AutoReg lag=12",493.13074798071875,649.4541062813184,9.587139290849027,9.195422745938608,1.8050085463678216
M4,M26707,DEMOGRAPHIC,Seasonal naive,seasonal period = 12,316.1083333333334,322.03393066569873,3.1445095532369525,3.1964921814446274,1.3324192111305304
M4,M26707,DEMOGRAPHIC,AutoReg,lag = 12,25.615139414021694,29.274379118750087,0.25624833670527103,0.25598254235807577,0.107969642847218
M4,M26707,DEMOGRAPHIC,SARIMA,"order=(0, 1, 1), seasonal_order=(1, 0, 1, 12)",44.45502032155142,60.49521619266914,0.43866204627374145,0.4402979495848515,0.1873810869932773
